corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid,SensitivityDR_1pct_down,SensitivitySG_1pct_down,DR_shock_raw,SG_shock_raw
00102858,고려아연,20180405000065,2017,OK|연결,OK,7,5837,437,OK,126929726000.0,142848873000.0,-15919147000.0,13547975000.0,3421369000.0,3266132000.0,155237000.0,1536048000.0,-4334354000.0,9930153000.0,-8523000.0,-5587276000.0,13703213000.0,,593291000.0,-10854926000.0,12718007000.0,2.9,3.2,3.05,4.76,5.0,4.88,,,9.31,12767339000.0,-11014621000.0,1.0,1.0
00103006,고려제강,20180921000363,2017,OK|연결,부분(0/7),52,49605,498,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103015,고려제약,20180402001845,2017,OK|별도,OK,9,9860,406,OK,8335736000.0,8653513000.0,-317777000.0,872987000.0,190238000.0,193348000.0,-3110000.0,672190000.0,228143000.0,-351713000.0,,579856000.0,895037000.0,,,-383171000.0,433595000.0,,,2.96,,,2.0,,,14.15,433413000.0,-390356000.0,1.0,1.0
00103042,케이씨티시,20180410000329,2017,OK|연결,OK,11,5387,419,OK,18730139000.0,17258117000.0,1472022000.0,1720760000.0,423289000.0,449733000.0,-26444000.0,1080717000.0,1849522000.0,405874000.0,1443648000.0,,2117608000.0,1781000000.0,140000000.0,-690516710.0,774399860.0,,,3.24,,,2.05,,,6.1,773399380.0,-703788040.0,1.0,1.0
00103130,플레이그램,20201023000282,2017,OK|연결,부분(0/7),1,2059,637,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103176,흥국화재,20180330000905,2017,OK|연결,OK,6,5199,389,OK,1019000000.0,928000000.0,91000000.0,694000000.0,16000000.0,18000000.0,-2000000.0,366000000.0,-135000000.0,,,,5683000000.0,,4991000000.0,,,,,2.44,,,6.0,,,,,,,
00103510,인지컨트롤스,20180402001188,2017,OK|연결,OK,15,6424,414,OK,14071233000.0,12882921000.0,1188312000.0,2596904000.0,326386000.0,219223000.0,107163000.0,1351262000.0,822219000.0,658973000.0,-2187000.0,165433000.0,2704067000.0,,,-2607924000.0,2600452000.0,,,3.18,,,4.17,,,,2607924000.0,-2292384000.0,0.5,0.5
00103547,우진비앤지,20211217000478,2017,OK|별도,OK,6,4419,398,OK,2972613662.0,1307709578.0,1651989814.0,399189026.0,80199181.0,40308323.0,39890858.0,230263540.0,53984150.0,,,,439079884.0,,,-134697161.0,159444983.0,,,3.28,,,3.96,,,,157135066.0,-138899488.0,1.0,1.0
00103592,광동제약,20180330001639,2017,OK|연결,OK,7,6025,417,OK,13969523000.0,13497326000.0,472197000.0,1831187000.0,323828000.0,347947000.0,-24119000.0,977074000.0,13169000.0,5574000.0,0.0,7595000.0,1807068000.0,,5017474000.0,-1143638000.0,1306721000.0,,,3.02,,,4.3,,,8.7,1323403000.0,-1151637000.0,1.0,1.0
00103626,한솔피엔에스,20180402004063,2017,OK|별도,OK,8,5754,421,OK,7246772000.0,6388850000.0,857922000.0,1152505000.0,209161000.0,168522000.0,40639000.0,3551822000.0,549111000.0,320066000.0,-112025000.0,341070000.0,1193144000.0,,,-515342000.0,579350000.0,2.76,2.78,2.77,3.5,5.19,4.345,,,,587308000.0,-518505000.0,1.0,1.0
00103635,광림,20180402003522,2017,OK|연결,OK,17,6243,413,OK,7027448377.0,1449584479.0,5577863898.0,1505988378.0,149679750.0,23533667.0,126146083.0,1770451458.0,271702105.0,,,,1632134461.0,,,-316695391.0,344501165.0,2.61,2.97,2.79,1.0,3.61,2.305,,,,343598072.0,-323299545.0,1.0,1.0
00103644,비츠로테크,20170928000471,2017,OK|연결,OK,6,4791,402,OK,16346422000.0,4879288000.0,11458598000.0,3147744000.0,327770000.0,,327770000.0,1772505000.0,924273000.0,,,,3475514000.0,,,,,,,2.6,,,4.18,,,,,,1.0,1.0
00104069,케이디비생명보험,20180330003996,2017,OK|연결,OK,1,2546,370,OK,24395000000.0,,,5912000000.0,969000000.0,,,11982000000.0,4056000000.0,,,4731000000.0,,,,,,,,,,,,,,,,,,
00104102,우리종합금융,20180330002464,2017,OK|연결,OK,12,5872,409,OK,2606506000.0,2341401000.0,265105000.0,413042000.0,42272000.0,50798000.0,-8526000.0,254547000.0,666491000.0,417611000.0,,274280000.0,508850000.0,511637000.0,95766000.0,-187908000.0,214103000.0,,,2.96,,,3.15,,,,215687000.0,-190128000.0,1.0,1.0
00104120,광진실업,20180329001112,2017,OK|별도,OK,7,5302,397,OK,2546100000.0,2529990000.0,16110000.0,366112000.0,51789000.0,77344000.0,-25555000.0,185353000.0,46747000.0,,,,340557000.0,,,-167639000.0,188705000.0,,,2.76,,,4.98,,,,190875000.0,-168992000.0,1.0,1.0
00104388,국도화학,20180330000113,2017,OK|연결,부분(0/7),2,2529,347,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104519,국보,20180402003793,2017,OK|연결,부분(0/7),2,3431,799,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104537,국영지앤엠,20180403000730,2017,OK|연결,부분(0/7),1,1802,524,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104573,국일제지,20180330002829,2017,OK|연결,OK,12,13692,400,OK,5039913000.0,3558904000.0,1481009000.0,702948000.0,137641000.0,79176000.0,58465000.0,816721000.0,-161226000.0,,,,761413000.0,,,-1132663000.0,591331000.0,,,3.009,,,3.04,,,,533635000.0,-1074105000.0,1.0,1.0
00104698,LS네트웍스,20180330002724,2017,OK|연결,OK,9,5597,418,OK,12067499000.0,11761780000.0,305719000.0,1768114000.0,334410000.0,313468000.0,20942000.0,1830173000.0,82304000.0,-136078000.0,218382000.0,,1789056000.0,,,-590389000.0,678663000.0,3.6,3.7,3.65,4.4,5.92,5.16,,,,571616000.0,-603089000.0,1.0,1.0
00104722,국제약품,20180402000141,2017,OK|연결,부분(0/7),4,3039,515,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104768,가온전선,20180402001696,2017,OK|연결,OK,19,8242,442,OK,17454273000.0,15950515000.0,1503758000.0,2236622000.0,520526000.0,481277000.0,39249000.0,1956559000.0,697533000.0,-141035000.0,-12941000.0,704012000.0,3160604000.0,,187200000.0,,,3.4,3.6,3.5,4.0,5.0,4.5,7.31,8.17,7.74,,,1.0,1.0
00104786,미래아이앤지,20180515001992,2017,OK|연결,OK,8,6573,395,OK,965998000.0,184698000.0,781300000.0,195878000.0,17708000.0,4415000.0,13293000.0,78107000.0,46201000.0,,,,209170000.0,,,-62105000.0,68889000.0,,,2.78,,,5.0,,,,71107000.0,-62256000.0,1.0,1.0
00104810,소노스퀘어,20180402004845,2017,OK|연결,OK,12,15046,413,OK,8462393000.0,4272495000.0,4189898000.0,1240771000.0,120872000.0,93344000.0,27528000.0,630906000.0,514493000.0,,,,1268299000.0,,,-551448000.0,678842000.0,2.82,3.2,3.01,3.73,4.36,4.045,,,,633794000.0,-1682726000.0,1.0,1.0
00104856,삼성증권,20180330003188,2017,OK|연결,OK,17,27318,427,OK,78373250000.0,76382497000.0,1990753000.0,9981451000.0,1471423000.0,1343727000.0,127696000.0,6903368000.0,-199673000.0,2137515000.0,-1900135000.0,-1437053000.0,,,,-4719059000.0,5369222000.0,2.8,3.57,3.185,3.5,4.12,3.81,,,,5323761000.0,-4843259000.0,1.0,1.0
00104999,윌비스,20180402001878,2017,OK|연결,OK,6,4197,413,OK,5861018408.0,30961265.0,5830057143.0,1317938324.0,,,145234832.0,1829384950.0,429939011.0,175681468.0,0.0,254257543.0,1463173156.0,,,-438372238.0,496790032.0,3.28,3.37,3.325,3.93,6.98,5.455,,,,509401867.0,-436654868.0,1.0,1.0
00105040,뉴인텍,20180402001636,2017,OK|연결,OK,9,5760,412,OK,4308041000.0,779424000.0,3528617000.0,502814000.0,61895000.0,21094000.0,40801000.0,324472000.0,495992000.0,230371000.0,-4346000.0,269967000.0,543615000.0,,108000000.0,-254019000.0,286045000.0,,,3.16,,,4.0,,,8.74,292645000.0,-253521000.0,1.0,1.0
00105101,INVENI,20180330002894,2017,OK|연결,OK,8,5997,429,OK,39257448000.0,33266166000.0,5991282000.0,4868878000.0,1451490000.0,1082774000.0,368716000.0,2341998000.0,-3423187000.0,,,,,10854000000.0,,-2832506000.0,3196747000.0,3.0,3.9,3.45,3.0,5.0,4.0,5.25,9.61,7.43,3231854000.0,-2856431000.0,1.0,1.0
00105138,파라텍,20180402003001,2017,OK|연결,OK,13,14955,404,OK,4419735000.0,4965148000.0,-545413000.0,1134719000.0,90178000.0,117726000.0,-27548000.0,1203711000.0,-372776000.0,,,,1003476000.0,,5275010000.0,-185125000.0,210375000.0,,,3.11,,,3.36,,,,210796000.0,-188187000.0,1.0,1.0
00105156,극동유화,20180402000752,2017,OK|연결,OK,8,5287,401,OK,8100130000.0,4215098000.0,3885032000.0,745648000.0,150748000.0,128119000.0,22629000.0,924369000.0,-422061000.0,,,,748725000.0,,,-385743000.0,375601000.0,,,3.25,,,5.0,,,11.7,335915000.0,-334065000.0,1.0,1.0
00105165,극동전선,20180403000020,2017,OK|연결,부분(1/7),2,2740,355,부분(2/7),,14185457000.0,,,,,,3709960000.0,,,,,,,,,,,,,,,,,,,,,,
00105174,에이치디현대오일뱅크,20180710000500,2017,OK|연결,OK,14,6060,419,OK,195765320000.0,223705551000.0,-28270385000.0,26844901000.0,5266098000.0,5389700000.0,-123602000.0,11863940000.0,14057312000.0,10752743000.0,0.0,3304569000.0,,,,-19787963600.0,22874592240.0,,,3.19,1.86,3.74,2.8,,,,23177643600.0,-19811587840.0,1.0,1.0
00105271,케이씨씨,20210317000396,2017,OK|연결,OK,17,7387,424,OK,268792720000.0,297653441000.0,-28860721000.0,34485881000.0,7042414000.0,7312387000.0,-269973000.0,8925433000.0,26391275000.0,17910586000.0,-3003636000.0,11484325000.0,34321846000.0,,1616000000.0,-21031836000.0,24019975000.0,,,3.08,,,5.3,,,,24291556000.0,-21207039000.0,1.0,1.0
00105280,현대지에프홀딩스,20180402003976,2017,OK|연결,OK,7,7466,437,OK,174304956000.0,154411700000.0,19893256000.0,28315204000.0,,2748679000.0,,14951323000.0,3650359000.0,5386339000.0,-2350000.0,-1733630000.0,25566525000.0,,1282093000.0,-9515507000.0,10946595000.0,2.4,3.6,3.0,2.0,4.5,3.25,2.9,8.5,5.7,11023306000.0,-9628721000.0,1.0,1.0
00105299,금강공업,20180330003610,2017,OK|연결,OK,8,7514,397,OK,25951520000.0,25838335000.0,113185000.0,2969734000.0,444821000.0,478052000.0,-33231000.0,1134988000.0,598255000.0,-130783000.0,-78660000.0,807698000.0,4933727000.0,,,,,,,2.67,,,3.96,,,,,,,
00105466,KCC건설,20210316001039,2017,OK|연결,OK,9,6842,419,OK,60299389000.0,47449949000.0,12849440000.0,6142978000.0,1346755000.0,935488000.0,411267000.0,3170761000.0,993337000.0,2111895000.0,-519294000.0,-290232000.0,6554245000.0,,,-3675615000.0,4129314000.0,,,2.88,,,4.84,,,6.86,4141099000.0,-3734036000.0,1.0,1.0
00105475,금강철강,20180402003951,2017,OK|연결,OK,25,9038,408,OK,10678572412.0,10502258423.0,173239549.0,531744652.0,34631765.0,207477623.0,-172846858.0,129672005.0,1265527538.0,-114971431.0,,1380498969.0,358898794.0,,24950120.0,-255859681.0,254050669.0,,,2.75,,,4.07,,,,255469362.0,-259866943.0,1.0,1.0
00105606,금호에이치티,20180330003604,2017,OK|연결,OK,9,11675,410,OK,10742678000.0,12270376000.0,-1527698000.0,2127320000.0,273754000.0,220619000.0,53135000.0,1261291000.0,750525000.0,-641253000.0,827382000.0,564396000.0,2180455000.0,,,-759240000.0,737207000.0,,,2.96,,,5.0,,,,667333000.0,-661986000.0,1.0,1.0
00105855,엘에스일렉트릭,20180330003041,2017,OK|연결,OK,15,7909,438,OK,189984000000.0,195414000000.0,-5430000000.0,23813000000.0,5720000000.0,5819000000.0,-99000000.0,21818000000.0,-8177000000.0,-6326000000.0,541000000.0,-2392000000.0,23967000000.0,16737000000.0,467000000.0,-12759000000.0,14281000000.0,3.1,3.6,3.35,3.6,5.91,4.755,,,,14448000000.0,-12859000000.0,1.0,1.0
00105873,LG디스플레이,20180402004137,2017,OK|연결,OK,11,7178,425,OK,1562424000000.0,1466977000000.0,95447000000.0,195850000000.0,40844000000.0,38453000000.0,2391000000.0,76011000000.0,-114000000.0,56706000000.0,-7702000000.0,-48890000000.0,198241000000.0,,,-190224000000.0,224578000000.0,,,3.2,,,4.7,,,14.0,229954000000.0,-189818000000.0,1.0,1.0
00105952,LS,20210831001778,2017,OK|연결,OK,10,6447,399,OK,595791000000.0,521226000000.0,74565000000.0,54671000000.0,20898000000.0,17733000000.0,3165000000.0,58509000000.0,-12708000000.0,,-1201000000.0,-11507000000.0,58444000000.0,,7886000000.0,,,,,,,,,,,,,,,
00105961,LG이노텍,20180402003326,2017,OK|연결,OK,23,8186,431,OK,338616000000.0,280919000000.0,57697000000.0,52717000000.0,9145000000.0,5972000000.0,3173000000.0,20319000000.0,39591000000.0,41027000000.0,1505000000.0,1083000000.0,56222000000.0,29522000000.0,479000000.0,-27536000000.0,31053000000.0,,,3.0,,,4.8,,,9.23,31861000000.0,-27418000000.0,1.0,1.0
00106119,금양,20180402002270,2017,OK|연결,OK,9,6017,398,OK,3523791000.0,1823889000.0,1699902000.0,747090000.0,65235000.0,42501000.0,22734000.0,159322000.0,333643000.0,,,,769824000.0,,,-248346000.0,281153000.0,,,2.79,,,6.1,,,,289346000.0,-246580000.0,1.0,1.0
00106313,금호건설,20180330002875,2017,OK|연결,OK,9,6616,431,OK,62888000000.0,19765000000.0,43123000000.0,7206000000.0,1490000000.0,335000000.0,1155000000.0,6829000000.0,543000000.0,1165000000.0,0.0,-1617000000.0,8361000000.0,,,-2819000000.0,3151000000.0,2.92,3.57,3.245,3.57,4.33,3.95,,,5.32,3129000000.0,-2889000000.0,1.0,1.0
00106368,금호석유화학,20180402005051,2017,OK|연결,OK,11,7762,421,OK,173041000000.0,137832000000.0,35209000000.0,17525000000.0,4849000000.0,3318000000.0,1531000000.0,12780000000.0,8623000000.0,,,,19056000000.0,,,-11050000000.0,15596000000.0,2.94,3.18,3.06,3.87,5.76,4.815,,,,15674000000.0,-11191000000.0,1.0,1.0
00106395,금호전기,20180402004849,2017,OK|연결,OK,7,6558,423,OK,17219184000.0,15632719000.0,1586465000.0,3122282000.0,415432000.0,295565000.0,119867000.0,2016994000.0,-973275000.0,513241000.0,-827383000.0,-659133000.0,3242149000.0,,,-940565000.0,433912000.0,2.96,3.05,3.005,3.7,5.0,4.35,,,,1069979000.0,-388440000.0,1.0,1.0
00106614,기신정기,20170629000345,2017,OK|연결,OK,15,6639,419,OK,15370211000.0,12896196000.0,2474015000.0,2889253000.0,420863000.0,316169000.0,104694000.0,804451000.0,1385625000.0,808392000.0,63263000.0,513970000.0,,,,-1520971000.0,1781751000.0,2.6,3.6,3.1,,,5.0,,,10.75,1814531000.0,-1520971000.0,1.0,1.0
00106623,현대위아,20180330003399,2017,OK|연결,OK,13,6880,431,OK,174032988000.0,188999795000.0,-14966807000.0,25617057000.0,4757258000.0,4644667000.0,112591000.0,12637023000.0,-12309894000.0,-5407186000.0,178952000.0,-9391653000.0,37492729000.0,,,-18459744000.0,22248131000.0,1.9,3.23,2.565,0.92,4.39,2.655,,,,22255027000.0,-18786954000.0,1.0,1.0
00106641,기아,20211210000450,2017,OK|연결,부분(3/7),15,13076,410,OK,,,3.19,,,4.0,,,,2251656000000.0,2213350000000.0,38306000000.0,286676000000.0,62651000000.0,62081000000.0,,,,,,,,,267540000000.0,266762000000.0,-231482000000.0,,,1.0,1.0
00106669,세아베스틸지주,20180402003080,2017,OK|연결,OK,2,2415,359,OK,185870430000.0,168163420000.0,17707010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
00106720,기흥관광개발,20180330002191,2017,OK|연결,부분(0/7),2,3601,350,부분(1/7),,,,,,,,922202000.0,,,,,,,,,,,,,,,,,,,,,,
00106881,인디에프,20180330003362,2017,OK|연결,OK,10,9570,407,OK,7793906000.0,3657508000.0,4136398000.0,1350957000.0,140623000.0,57364000.0,83259000.0,946044000.0,142490000.0,323650000.0,0.0,-181160000.0,1434216000.0,,,-338531000.0,382476000.0,,,3.46,,,4.31,,,,384902000.0,-343045000.0,1.0,1.0
00107066,남광토건,20180402005009,2017,OK|연결,OK,13,4837,401,OK,2503192000.0,57575000.0,2445617000.0,756367000.0,55654000.0,1120000.0,54534000.0,1233468000.0,337552000.0,,,,,17000000.0,,-58800000.0,63825000.0,,,2.46,,,2.86,,,3.05,62500000.0,-61225000.0,1.0,1.0
00107224,남선알미늄,20180402003570,2017,OK|별도,OK,12,11132,429,OK,30225607000.0,8420926000.0,21804681000.0,3626452000.0,794335000.0,141807000.0,652528000.0,1714432000.0,4241302000.0,1296380000.0,-80708000.0,3025630000.0,4278980000.0,,,-2418776000.0,1466851000.0,2.87,3.01,2.94,3.62,4.14,3.88,,,,2418776000.0,-1466851000.0,1.0,1.0
00107598,남양유업,20180921000478,2017,OK|연결,OK,22,31639,425,OK,86167569000.0,73303953000.0,12863616000.0,9049634000.0,2071462000.0,1576713000.0,494749000.0,6148100000.0,1595467000.0,5728101000.0,-283946000.0,-3039622000.0,11121096000.0,,372927000.0,-3419657000.0,3766587000.0,,,3.1,,,3.05,,,4.21,3804830000.0,-3452139000.0,1.0,1.0
00107613,이수페타시스,20180402004027,2017,OK|연결,OK,10,6193,429,OK,66673030000.0,61744255000.0,4928775000.0,7754839000.0,1451803000.0,1418586000.0,33217000.0,3031548000.0,1709066000.0,,,,7788056000.0,,,-4726227000.0,5270685000.0,2.99,3.16,3.075,4.0,7.0,5.5,5.7,9.62,7.66,5377694000.0,-4726780000.0,1.0,1.0
00107677,비비안,20200327001432,2017,OK|연결,OK,9,5526,410,OK,9419841127.0,8136858113.0,1276802835.0,1209361120.0,175894176.0,151239711.0,24654465.0,2035356551.0,110148441.0,122596259.0,195997411.0,428743111.0,1234015585.0,,,-271361883.0,283327047.0,,,2.39,,,5.99,,,,294630740.0,-266390878.0,1.0,1.0
00107987,남해화학,20180402004809,2017,OK|연결,OK,18,6970,411,OK,21516196449.0,15924977192.0,5591219257.0,2535472533.0,489642959.0,344722472.0,144920487.0,440084320.0,1245787382.0,487007090.0,0.0,758780292.0,,,586542000.0,-1604432980.0,1864709579.0,,,3.17,,,2.12,,,,1861437284.0,-1636188280.0,1.0,1.0
00108001,남화토건,20180329000773,2017,OK|연결,부분(0/7),1,2398,347,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108038,엔피씨,20180402001545,2017,OK|연결,OK,9,5453,383,OK,423775000.0,172089000.0,251686000.0,326117000.0,,,,251757000.0,,,,,326117000.0,,,-12207000.0,11959000.0,,,2.14,,,7.3,,,,12695000.0,-11738000.0,,
00108065,에코바이브,20180330001898,2017,OK|연결,OK,12,6388,389,OK,356103000.0,78044000.0,278059000.0,78489000.0,4044000.0,2425000.0,1619000.0,71408000.0,126548000.0,124892000.0,,1656000.0,80108000.0,,,,,,,3.27,,,5.0,,,,,,,
00108135,녹십자홀딩스,20180402003219,2017,OK|연결,OK,8,5914,438,OK,113362000000.0,103130000000.0,10232000000.0,17898000000.0,2870000000.0,2336000000.0,534000000.0,1453000000.0,-1176000000.0,-2486000000.0,-947000000.0,1257000000.0,18432000000.0,28630000000.0,,-8981000000.0,10542000000.0,2.78,3.17,2.975,4.48,5.77,5.125,,,11.1,10555000000.0,-9132000000.0,1.0,1.0
00108241,농심,20180330001843,2017,OK|연결,OK,18,7017,435,OK,214091848000.0,234159547000.0,-20067699000.0,22768059000.0,5903124000.0,5843742000.0,59382000.0,25171666000.0,-418504000.0,-4890992000.0,-1200768000.0,5673256000.0,23090292000.0,,1261848000.0,-12993649000.0,15103608000.0,2.86,3.2,3.03,4.5,5.5,5.0,,,,14756499000.0,-13511841000.0,1.0,1.0
00108302,뉴경기관광,20180330002314,2017,OK|별도,부분(0/7),4,3928,350,부분(1/7),,,,,,,,17072000.0,,,,,,,,,,,,,,,,,,,,,,
00108490,엔피케이,20180329000476,2017,OK|연결,부분(0/7),1,2486,347,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108533,다산,20180330001141,2017,OK|별도,부분(0/7),2,2303,353,부분(2/7),,,,,,,,493809000.0,,,,,,,30392000.0,,,,,,,,,,,,,,,
