법인코드,법인명,접수번호,결산연도,처리상태,발췌테이블수,입력토큰,출력토큰,확정급여채무,사외적립자산,순확정급여부채,당기근무원가,이자비용,이자수익,순이자비용,급여지급액,보험수리적손익,퇴직급여비용합계,예상기여금,확정기여제도비용,할인율_최소,할인율_최대,할인율_중간,임금상승률_최소,임금상승률_최대,임금상승률_중간,듀레이션_최소,듀레이션_최대,듀레이션_중간
00104856,삼성증권,20250306000628,2024,부분(3/7),5,10838,262,134426777000,139746756000,-5319979000,,,4917634000,,11285921000,-76434000,,,,,,,,,,,,
00105040,뉴인텍,20250318001416,2024,OK,9,10682,283,6875298000,1366567000,5508731000,1023390000,261372000,57633000,203739000,642732000,47717000,1284762000,820000000,219000000,,,,,,,,,7.18
00105156,극동유화,20250320001025,2024,OK,10,12434,282,12056983000,13155726000,-1098743000,1061028000,312865000,554462000,-241597000,500178000,108818000,846378000,,,,,,,,,5.79,7.58,6.685
00105165,극동전선,20250331002462,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00105174,에이치디현대오일뱅크,20250328000054,2024,OK,8,11777,282,408119890000,433289952000,-25170062000,33150257000,14112543000,16878269000,-2765726000,31463670000,48901281000,53462800000,,,,,,,,,,,11.0
00105271,케이씨씨,20250313001099,2024,OK,7,12911,301,855111252000,559810316000,295237766000,35210994000,34066818000,24157696000,9909122000,38192468000,-5021139000,47722078000,,29581000000,3.9,6.04,4.97,3.42,5.65,4.535,,,
00105299,금강공업,20250319000431,2024,OK,4,12986,274,50751866783,53466468039,-2714601256,5267746568,1969166411,1867707713,101458698,4775694443,1552122994,,,,,,,,,,,,
00105466,KCC건설,20250320001281,2024,OK,4,10232,273,79666233000,85216726000,-5550493000,8062438000,,,-37534000,10633019000,5736081000,8024904742,,,,,,,,,,,5.69
00105606,금호에이치티,20250317000938,2024,OK,6,14739,280,19179090000,17411711000,1767379000,1802538000,599857000,672972000,-73115000,1950068000,3724643000,1729423000,,,,,,,,,,,8.0162
00105855,엘에스일렉트릭,20250317000918,2024,OK,5,5943,279,254174000000,288344000000,-34170000000,24211000000,10619000000,14323000000,-3704000000,35383000000,9126000000,,,4017000000,,,,,,,,,
00105873,LG디스플레이,20250312000906,2024,OK,8,13643,284,1444252000000,1603911000000,-159659000000,148868000000,67426000000,86280000000,-18854000000,399549000000,130641000000,216294000000,,,,,,,,,,,9.98
00105961,LG이노텍,20250318001384,2024,OK,4,10337,275,659520000000,841416000000,-181896000000,86231000000,32237000000,40374000000,-8137000000,73967000000,-91524000000,,,,,,,,,,,,
00106368,금호석유화학,20250317000810,2024,OK,10,11289,285,328276000000,350329000000,-22053000000,31981000000,12513000000,13496000000,-983000000,15791000000,22456000000,30998000000,,1652000000,,,,,,,,,9.02
00106614,기신정기,20240613000239,2024,OK,10,12253,276,18683294000,21614046000,-2930752000,2279373000,799090000,932266000,-133176000,2443058000,-1587647000,2146197000,,,,,,,,,,,
00106623,현대위아,20250313000158,2024,OK,4,10657,275,230488000000,305485000000,-74997000000,32532000000,9958000000,13508000000,-3550000000,29074000000,12697000000,,,,,,,,,,,,
00106669,세아베스틸지주,20250318000465,2024,OK,6,13575,292,245671225000,258853524000,-13182299000,18772789000,10576392000,12298081000,-1721689000,19408854000,10156133000,17051100000,19864601000,,,,,,,,6.9,13.6,10.25
00106720,기흥관광개발,20250328002149,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00106881,인디에프,20250320001282,2024,OK,8,14350,275,7776744000,2651988000,5124756000,1009183000,230943000,131674000,99269000,1040890000,345174000,1108452000,,,,,,,,,,,
00107224,남선알미늄,20250320001238,2024,OK,7,11329,277,33617561000,15709978000,17907583000,3028748000,1153959000,499345000,654614000,4454408000,2536833000,3683362000,,,,,,,,,,,
00107598,남양유업,20250328000090,2024,OK,8,11923,274,79690123000,84126005000,-4435882000,6995864000,3557525000,4116712000,-559187000,14138269000,3015838000,,,,,,,,,,,,
00107613,이수페타시스,20250321001007,2024,OK,9,12511,284,136112479000,139357615000,-3245136000,10342007000,5157562000,5474109000,-316547000,3067079000,9820351000,10025460000,,384025000,,,,,,,,,9.28
00107987,남해화학,20250320001558,2024,ZIP아님,,,,,,,,,,,,,,,,,,,,,,,,
00108001,남화토건,20250318001306,2024,부분(0/7),4,5439,239,,,,,,,,,,,,,,,,,,,,,
00108038,엔피씨,20250321001553,2024,부분(2/7),7,14059,251,877729000000,127347000000,750382000000,,,,,,,,,,,,,,,,,,
00108135,녹십자홀딩스,20250318001422,2024,OK,10,14320,292,251856000000,226473000000,25383000000,30242000000,9282000000,10351000000,-1069000000,25049000000,22781000000,29173000000,54749000000,,,,,,,,4.56,10.75,7.655
00108241,농심,20250312000711,2024,OK,9,11925,281,256013176000,252323446000,3689730000,24176649000,9508636000,9960042000,-451406000,32770795000,7840586000,39608161000,,,,,,,,,,,6.3
00108302,뉴경기관광,20250328002246,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00108490,엔피케이,20250319000630,2024,OK,12,13494,281,13558452000,4047958000,9510494000,1221250000,519816000,98338000,421478000,1474107000,564821000,1836803000,,,,,4.0,,,3.0,,,
00108533,다산,20250429000967,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00108649,TPC,20250318001007,2024,OK,5,11049,268,14428978000,3289334000,11139644000,1198490000,646390000,,,759791000,370054000,1676604527,,,,,,,,,,,
00108977,대구백화점,20250321000349,2024,OK,13,14641,293,8577575000,7253392000,1324183000,586789000,321967000,297313000,24654000,845431000,663702000,611443000,,250000000,3.425,3.531,3.478,3.03,3.3,3.165,,,
00109019,아이엠뱅크,20250318001043,2024,OK,6,11985,279,364757000000,448514000000,-83757000000,28819000000,16422000000,20839000000,-4417000000,25156000000,-2247000000,24402000000,,,,,,,,,,,
00109037,대성창투,20250319001089,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00109107,대농,20250331003793,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00109189,대덕,20250320001383,2024,OK,8,14093,292,124007700636,146480521346,-22472820710,12232187879,4469332346,6222886632,-1753554286,8906446861,4879905276,10502454113,12841687836,,,,,,,,1.44,9.61,5.525
00109286,대동,20250318001356,2024,OK,6,10721,281,93757866000,2125641000,91632225000,12546488000,4668995000,39676000,4629319000,12573595000,6087156000,17175807000,,245748000,,,,,,,,,
00109310,대동기어,20250314000238,2024,OK,8,8854,274,12728756000,331155000,12397601000,1824356000,488675000,16340000,472335000,3047164000,1749260000,,,,,,,,,,,,6.852
00109453,케이조선,20250327000272,2024,OK,11,14236,285,33422000000,3197000000,30225000000,2423000000,1231000000,119000000,1112000000,2486000000,1949000000,3535000000,,2499000000,,,,,,,,,7.93
00109514,티웨이홀딩스,20250321001276,2024,OK,15,13986,279,1339837000,616473000,723364000,193760000,51432000,27316000,24116000,57941000,3223000,219411000,,,,,4.07,,,3.69,,,3.29
00109587,대륙제관,20250313001272,2024,OK,9,13357,281,17162234000,128995000,17033239000,2042038000,464762000,3793000,460969000,1940599000,1070895000,2558198000,,,,,2.88,,,6.0,,,
00109754,대림바스,20250321001769,2024,OK,5,8542,277,37120965000,23054834000,14066131000,3603104000,1365235000,840359000,524876000,4928382000,1408879000,,,1621000000,,,,,,,,,
00109781,대림제지,20250320000731,2024,OK,11,13020,273,12932493000,12397844000,534649000,1188249000,512007000,491283000,20724000,376531000,145835000,1208973000,,,,,,,,,,,
00109806,삼일씨엔에스,20250320001188,2024,OK,7,14009,274,8366040000,10472660000,-2106620000,1127242000,383817000,503408000,-119591000,2575849000,-33931000,,789152000,,,,,,,,,,
00109824,대림통상,20250320001663,2024,부분(3/7),2,11050,258,18182820420,12852232116,5329988304,,,,,,,,1581000000,,,,,,,,,,5.64
00110060,대백저축은행,20250328000759,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00110307,대선조선,20250327000929,2024,OK,7,13451,283,14473949000,1745538000,12728411000,1791594000,536440000,73955000,462485000,3965448000,1490059000,2254079000,1532502000,,,,,,,,,,5.98
00110547,링세오코리아,20250331002147,2024,부분(1/7),2,14725,250,,,,,,,,1818542395,,1002880261,,69000000,,,,,,,,,
00110583,DH오토웨어,20250321000004,2024,OK,6,14185,283,4863041000,2636761000,2226280000,,,,,3209713000,-705457920,1123375000,,237943000,7.17,7.24,7.205,,,,7.17,7.24,7.205
00110608,DSR,20250227006937,2024,부분(3/7),9,13214,256,13880400000,13952657000,-72257000,,,477063000,,491893000,,,,,,,,,,,,,
00110875,대신정보통신,20240613000108,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00111218,KD,20250320001744,2024,OK,9,13499,271,764082000,1350000,762732000,254527000,8198000,9000,8189000,103199000,-60027000,260848000,,,,,,,,,,,7.63
00111227,대양제지공업,20250331002969,2024,OK,11,12538,291,9957129000,9598604000,358525000,1637726000,291141000,412767000,-121626000,814883000,577078000,1516100000,,,3.86,4.39,4.125,4.56,7.47,6.015,,,
00111421,휴니드테크놀러지스,20250310000706,2024,부분(3/7),8,15237,264,14338348000,14594323000,-255975000,,,460922000,,1296105000,493083000,1978580000,,,,,,,,,,,
00111458,대영포장,20250320001314,2024,OK,10,10139,280,18624048000,19269872000,-645824000,2171491000,499079000,753875000,-254796000,1272205000,466533000,1916695000,,,,,4.14,,,4.95,,,
00111689,아진전자부품,20250321001016,2024,OK,7,10783,277,9654713000,5369323000,4285390000,1344926000,316746000,212747000,103999000,970623000,613003000,1448925000,,31696000,,,,,,,,,
00111704,한화오션,20250314001630,2024,OK,4,14256,278,822680000000,678109000000,144571000000,68829000000,26425000000,26141000000,284000000,48466000000,48164000000,139353000000,,,,,,,,,,,
00111838,대원,20250320000690,2024,OK,7,12507,275,12330464000,8545913000,3784551000,1705237000,498666000,442232000,56434000,3136187000,340263000,2260337000,,,,,,,,,,,
00111874,대원산업,20250320000948,2024,OK,8,12140,278,62774598000,63833909000,-1059311000,6204778000,2221789000,2274717000,-52928000,3855482000,6971596000,6151850000,,,,,,,,,,,
00111999,대원제약,20250320001537,2024,OK,10,13434,304,72728632000,44936498000,27792134000,8289193000,3051595000,1710482000,1341113000,3474150000,1356765000,9630306000,5218000000,,4.4,4.48,4.44,2.05,5.26,3.655,,,7.94
00112004,알바이오,20250331004016,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00112059,상상인증권,20250318001083,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00112165,디아이씨,20250321001173,2024,OK,9,14099,281,58727071000,1738308000,56988763000,3981507000,2087772000,80532000,2007240000,4361368000,3559069000,5988747000,,542921000,,,,,,,,,
00112378,KR모터스,20250319000576,2024,OK,8,12279,268,1966858000,15916000,1950942000,107639000,65119000,,65119000,22500000,72900000,,,,,,,,,,,,4.39
00112457,대주산업,20250318000629,2024,부분(3/7),3,12252,259,5331063000,4829803000,501260000,,,,,365098000,-35264000,868956000,,,,,,,,,,,
00112651,대창,20250318001233,2024,OK,10,10898,284,16780678000,24547843000,-7767165000,1547077000,593207000,1018795000,-425588000,2033068000,1491174000,2140284000,,1250429000,,,,,,,,,7.32
00112721,대창스틸,20250321000820,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00112819,데코앤에프,20250320001364,2024,부분(1/7),6,6242,242,,,,,,,,21884000,,,,,,,,,,,,,
00112873,미래엔,20250331002876,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00113058,한화생명,20250331003702,2024,OK,8,18415,288,573880000000,259756000000,314124000000,47806000000,24761000000,33290000000,-8529000000,48643000000,27874000000,,,14311000000,,,,,,,1.22,7.19,4.205
00113128,대한약품,20250318000608,2024,OK,14,12574,292,34115384561,29489237190,4626147371,2957421528,1543564440,1343552976,200011464,2815780200,1382444414,3199483033,3600000000,,,,4.81,,,2.48,,,7.6888
00113207,대한전선,20250325001056,2024,OK,9,13863,272,28748000000,29645000000,-897000000,2662000000,1171000000,983000000,188000000,22909000000,2271000000,,,,,,,,,,,,
00113225,대한제강,20250320000395,2024,부분(2/7),3,8761,254,,,,,,,,1969000000,,3685117000,4069252000,,,,,,,,7,9,8
00113234,대한제당,20250313001084,2024,OK,7,12583,281,58657421000,58501600000,155821000,4977525000,2151572000,2236406000,-84834000,7378669000,-2658662000,4892691000,5076195000,,,,,,,,,,
00113243,대한제분,20250313001408,2024,OK,11,12710,278,79494428000,84007807000,-4513379000,8509310000,2602602000,3074088000,-471486000,4979432000,3856370000,12107785000,,,,,,,,,,,
00113261,대한광통신,20250320001578,2024,부분(3/7),4,12008,254,5313310000,1639549000,3673761000,,,,,,,,,,,,,,,,,,8.95
00113359,교보증권,20250313000901,2024,OK,8,13178,282,49040389000,52774960000,-3734571000,3387318000,1778900000,1898224000,-119324000,4068867000,5723621000,5166518000,4150000000,,,,,,,,,,
00113410,CJ대한통운,20250317001020,2024,ZIP아님,,,,,,,,,,,,,,,,,,,,,,,,
00113492,깨끗한나라,20250320000849,2024,OK,7,11866,303,58103053000,59035119000,-1119151000,4154771000,2622833000,2743176000,-120343000,4655686000,4944750000,4034428000,4227000000,306000000,7.3,9.5,8.4,,,,7.3,9.5,8.4
00113526,대한항공,20250318001334,2024,OK,4,3472,280,3254665000000,695812000000,2558853000000,181782000000,85227000000,11786000000,73441000000,200464000000,227683000000,,,,,,,,,,,,8.35
00113535,대한해운,20250320001093,2024,OK,11,9119,287,28997785000,23577560000,5420225000,5594923000,937457000,879506000,57951000,5535580000,1024487000,5652874000,4824000000,1964000000,,,,,,,,,7.96
00113562,롯데손해보험,20250424000557,2024,OK,4,4226,288,53284000000,57507000000,-4223000000,6749000000,1941000000,2587000000,-646000000,4068000000,1519000000,8690000000,6501000000,647000000,,,,,,,,,6.3
00113614,대현,20250321001236,2024,OK,7,12906,278,23451445000,22637635000,813810000,2013583000,874028000,774191000,99837000,5008691000,2472279000,2113420000,,,,,,,,,,,3.98
00113997,롯데에너지머티리얼즈,20250314001597,2024,부분(3/7),5,13472,272,44321490000,17886847000,26434643000,,,,,,-3116994658,8683633000,5524000000,,,,,,,,0.68,9.51,5.1
00114093,덕성,20250317000503,2024,OK,9,14717,281,5318843000,5148708000,170135000,602641000,235551000,224119000,11432000,1065494000,517198000,614072550,700000000,,,,4.19,,,5.35,,,
00114154,디와이덕양,20250317000666,2024,OK,9,13811,285,50781000000,56959000000,-6178000000,4200000000,2179000000,2420000000,-241000000,3953000000,4467000000,3958000000,6093000000,,,,,,,,,,7.48
00114686,동구바이오제약,20250318001200,2024,OK,7,13152,278,8720734000,9470434000,-749700000,1278659000,417833000,338655000,79178000,2219596000,1335055000,1357837000,,957885000,,,,,,,,,
00114765,케이비아이동국실업,20250319000773,2024,OK,10,12355,283,23909956000,3020246000,20889710000,2600444000,573466000,85844000,487622000,2169549000,3011755000,3088065000,3186000000,,,,,,,,,,7.7
00114792,동국홀딩스,20250318001457,2024,OK,9,14414,294,124364000000,128338000000,-3974000000,7091000000,3924000000,4527000000,-603000000,3824000000,6578000000,11016000000,3367000000,156000000,,,,,,,2.28,8.54,5.41
00114808,동국제약,20250313001454,2024,OK,6,12784,293,53082772000000,58109109000000,-5026337000000,6446366000000,2046862000000,2300043000000,-253181000000,6382305000000,3086082000000,6210431000000,7863737000000,,,,,,,,,,
00115384,동방아그로,20250313000657,2024,부분(0/7),4,8434,596,,,,,,,,,,,,,,,,,,,,,
00115472,미주제강,20250327000025,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00115676,KG스틸,20250318001327,2024,OK,11,11302,280,108732000000,108991000000,-259000000,9442000000,4377000000,5027000000,-650000000,6961000000,10580000000,8792000000,,320000000,,,,,,,,,
00115694,DB증권,20250317000605,2024,OK,4,5626,295,36659316000,37896774000,-1237458000,4377390000,1234987000,1579570000,-344583000,6966662000,2888734000,10018120000,1016000000,2982886000,,,,,,,5.6,8.4,7.0
00115977,아이에스동서,20250319001050,2024,OK,10,13723,278,64138157000,59190037000,4948120000,10505792000,1996542000,3058339000,-1061797000,21399063000,945999000,9443996000,,,,,,,,,,,
00116073,그린기술투자,20250331000382,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00116268,동성제약,20250321001375,2024,OK,12,14217,276,13285749000,6578845000,6706904000,1322174000,405213000,314978000,90235000,1749540000,1146961000,1412409000,,,,,,,,,,,
00116301,NI스틸,20250313000820,2024,OK,9,13273,267,12418105000,104303000,12313802000,1443792000,309903000,,,673444000,447041000,1753695393,,,,,,,,,,,
00116408,동신건설,20250319001068,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00116806,하스코,20250321000556,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00116824,동아쏘시오홀딩스,20250321001899,2024,OK,10,16331,285,133079358000,139769858000,-6690500000,14929121000,4364757000,5147065000,-782308000,13891411000,12352728000,14146813000,17338059000,,,,,,,,,,7.417
00116949,DN오토모티브,20250313001452,2024,OK,8,12941,279,199184376000,232582710000,-33398334000,18826245000,7270449000,9227141000,-1956692000,17624051000,16742050000,31869553000,,,,,,,,,,,
00117027,알루코,20250318000832,2024,OK,6,14351,271,14463016589,4237935133,10225081456,1723716954,617857671,198215035,419642636,130279034,-1030854408,,,,,,,,,,,,
00117072,동양건설산업,20250331003981,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00117179,디와이,20250312001047,2024,OK,7,10212,272,71651922000,71578796000,73126000,6941619000,2721359000,2859836000,-138477000,6059632000,666432000,,,,,,,,,,,,
00117188,효성,20250313001006,2024,OK,10,13587,288,202514000000,201218000000,1296000000,21122000000,5570000000,8841000000,-3271000000,38638000000,13378000000,,,3450000000,,,,,,,1.28,12.6,6.94
00117230,TYM,20250319000651,2024,OK,9,14203,308,66868506000,59560709000,7250598000,7234856000,2920456000,2223666000,696790000,7343952000,-8000818000,8028773000,,423171000,3.96,4.01,3.985,3.65,4.55,4.1,4.81,8.9,6.855
00117267,동양생명,20250331000321,2024,OK,15,15870,278,97244000000,80942000000,16302000000,7230000000,3378000000,3115000000,263000000,8980000000,12147000000,8383000000,,,,,,,,,,,
00117276,네이처셀,20250319000970,2024,OK,7,12228,289,3362147000000,1590019000000,1772128000000,508595000000,85265000000,66716000000,18549000000,151943000000,203669000000,527144000000,731559000000,,,,,,,,,,9.175
00117498,스틱인베스트먼트,20250320001381,2024,부분(0/7),6,10818,243,,,,,,,,,,,,2242000000,,,,,,,,,
00117577,오리온홀딩스,20250318000980,2024,OK,4,11456,294,130358784000,135089306000,4730522000,14435682000,4033349000,4749274000,-715925000,6956908000,4507023000,13719756471,12647000000,,2.65,11.23,,,,,2.65,11.23,
00117601,유안타증권,20250313000247,2024,OK,5,14179,286,148787859000,8521174000,140266685000,14584585000,5881672000,365458000,5516214000,9919298000,912046000,27425260000,,,,,,,,,8.32,10.64,9.48
00117629,KBI동양철관,20250317000788,2024,OK,9,13271,285,12491263000000,5519500000000,6971763000000,1227675000000,377634000000,253278000000,124356000000,951338000000,1678684000000,1352031000000,,,,,,,,,,,
00117726,DYP,20250321001077,2024,OK,6,12123,282,38938365000,14311804000,24626561000,4205508000,1340017000,639356000,700661000,4541053000,3198508000,,,,,,,,,,4.9,10.3,7.6
00118008,동원금속,20240619000177,2024,OK,8,13175,277,33007147000,570545000,32412132000,3162704000,1547651000,22645000,1525006000,2532952000,1349557000,4687661000,,,,,,,,,,,
00118044,동원수산,20250404003738,2024,OK,8,7487,271,9293130000,3341524000,5951606000,1473155000,156462000,147665000,8797000,1837599000,202812000,,,,,,,,,,,,
00118266,DRB동일,20250313000850,2024,OK,11,13825,290,24106856000,26581397000,-2474541000,2065544000,920889000,1109302000,-188413000,1052984000,3649528000,1877131000,,3870410000,,,,,,,8.03,9.39,8.71
00118284,동일금속,20250320001051,2024,OK,9,12700,274,4765638576,4257089417,508549159,555356895,166404894,157265051,9139843,927242309,5454159,564496738,,,,,,,,,,,3.984
00118345,디아이동일,20250331004012,2024,OK,6,12615,273,7932566000,8012661000,-80095000,1138997000,269641000,323316000,-53675000,520674000,694839000,1085322000,,,,,,,,,,,
00118451,동일제강,20250424000289,2024,OK,18,13677,280,5318769000,5360823000,-42054000,754018000,151654000,241858000,-90204000,253570000,184200000,663813000,,,,,4.51,,,5.09,,,9.724
00118804,동진쎄미켐,20250319000732,2024,OK,7,12334,278,94053512000,81958205000,12095307000,9023505000,3103139000,2775035000,328104000,5801851000,1212339000,9351609000,,,,,,,,,,,
00118965,티에이치엔,20250319001022,2024,부분(4/7),6,12674,268,26059718000,21324463000,4735255000,,,888201000,,1444774000,-7020133000,,,534164000,,,,,,,,,8.9
00119007,무림P&P,20250314001672,2024,OK,8,12428,287,63304246000,9126983000,54177263000,4416818000,2278343000,384164000,1894179000,4380089000,419132000,10690293000,4475000000,796000000,,,,,,,,,8.34
00119140,핸즈코퍼레이션,20250321001881,2024,OK,8,11773,286,68234539000,38951896000,29282643000,6328060000,2383882000,1508635000,875247000,5374370000,1949201000,13883979000,6592733000,1580000000,,,,,,,,,
00119195,동화약품,20250318000739,2024,OK,3,9797,278,81466729000,75359928000,6106801000,6185381000,2889178000,2838550000,50628000,4196949000,8306968000,9239787000,,,,,,,,,,,
00119724,두원중공업,20250331001956,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00120021,LG,20250318001070,2024,부분(3/7),2,2822,269,,,,18874000000,5320000000,5687000000,-367000000,,,18911000000,23719000000,65184000000,,,,,,,,,7.0
